18:42, Sunday, February 15, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
56340  ,100.824  ,43.2856  ,-99.9394  ,3.90845e-01
8040  ,100.033  ,45.5471  ,-98.8122  ,3.90829e-01
27599  ,102.457  ,38.7757  ,-99.5642  ,3.90822e-01
57770  ,101.003  ,43.1576  ,-98.3363  ,3.90811e-01
27052  ,99.3517  ,47.4021  ,-97.8029  ,3.90810e-01
27609  ,102.108  ,39.8016  ,-99.5316  ,3.90804e-01
52536  ,101.918  ,40.5561  ,-98.6742  ,3.90796e-01
18994  ,98.5639  ,49.0149  ,-98.694  ,3.90768e-01
23247  ,98.2169  ,49.6895  ,-99.1844  ,3.90765e-01
46156  ,101.436  ,42.0329  ,-97.9852  ,3.90744e-01
15375  ,101.662  ,41.137  ,-98.9218  ,3.90690e-01
52535  ,101.912  ,40.6307  ,-98.0269  ,3.90659e-01
33765  ,102.231  ,39.6918  ,-98.0548  ,3.90644e-01
2344  ,101.621  ,40.9457  ,-100.009  ,3.90637e-01
39118  ,100.149  ,45.1001  ,-98.9523  ,3.90637e-01
57766  ,100.879  ,43.262  ,-98.7667  ,3.90636e-01
26355  ,99.3566  ,47.083  ,-98.7215  ,3.90623e-01
52537  ,101.764  ,40.7008  ,-99.2696  ,3.90607e-01
27604  ,102.178  ,39.5641  ,-99.0265  ,3.90604e-01
52540  ,101.463  ,41.4485  ,-99.6403  ,3.90599e-01
61079  ,102.559  ,38.6719  ,-98.0835  ,3.90595e-01
59631  ,100.061  ,45.5232  ,-97.865  ,3.90582e-01
57768  ,101.044  ,42.8179  ,-98.6247  ,3.90580e-01
59816  ,101.273  ,42.357  ,-97.971  ,3.90578e-01
7356  ,101.305  ,41.9513  ,-99.2715  ,3.90568e-01
38293  ,101.046  ,42.9624  ,-97.9512  ,3.90568e-01
37697  ,99.0648  ,47.5185  ,-99.7855  ,3.90565e-01
50282  ,99.8022  ,45.7196  ,-99.85  ,3.90561e-01
51547  ,101.656  ,41.2117  ,-98.2745  ,3.90555e-01
56345  ,100.925  ,42.808  ,-99.9482  ,3.90553e-01
9275  ,100.265  ,44.6531  ,-99.0923  ,3.90454e-01
57062  ,101.302  ,41.9734  ,-98.8458  ,3.90450e-01
26356  ,99.4893  ,46.7389  ,-98.2617  ,3.90428e-01
26367  ,98.6526  ,48.7912  ,-97.7418  ,3.90404e-01
26358  ,99.1286  ,47.4514  ,-98.7191  ,3.90343e-01
38297  ,101.087  ,42.6226  ,-98.2395  ,3.90342e-01
9394  ,101.299  ,41.9956  ,-98.4201  ,3.90331e-01
4256  ,98.1858  ,49.7908  ,-97.7009  ,3.90317e-01
16525  ,99.3455  ,46.8049  ,-99.2529  ,3.90315e-01
38294  ,101.112  ,42.5962  ,-97.9569  ,3.90307e-01
55151  ,99.8088  ,45.9709  ,-97.8429  ,3.90305e-01
45995  ,101.403  ,41.7396  ,-98.2058  ,3.90302e-01
1476  ,101.508  ,41.4836  ,-97.9915  ,3.90276e-01
5641  ,102.431  ,38.5155  ,-99.0439  ,3.90253e-01
52538  ,101.483  ,41.2266  ,-99.1755  ,3.90233e-01
33768  ,102.178  ,39.3278  ,-98.5428  ,3.90160e-01
16523  ,99.531  ,46.1247  ,-99.8262  ,3.90147e-01
26357  ,99.2613  ,47.1073  ,-98.2594  ,3.90142e-01
18992  ,98.3649  ,48.8761  ,-99.7242  ,3.90109e-01
55270  ,101.008  ,42.2559  ,-99.9555  ,3.90104e-01
27606  ,101.993  ,39.4362  ,-100.042  ,3.90095e-01
57826  ,100.866  ,42.7733  ,-99.3282  ,3.90087e-01
6354  ,98.5997  ,48.5183  ,-98.7032  ,3.90066e-01
60318  ,102.316  ,38.4303  ,-100.07  ,3.90060e-01
32351  ,98.0014  ,49.8531  ,-98.6388  ,3.90036e-01
38229  ,99.1175  ,47.1733  ,-99.2506  ,3.90030e-01
51595  ,99.6345  ,46.018  ,-98.7492  ,3.90016e-01
10551  ,98.78  ,48.1668  ,-98.2359  ,3.90015e-01
2232  ,97.9003  ,49.8588  ,-99.6836  ,3.90006e-01
46159  ,101.224  ,42.0017  ,-98.1902  ,3.89987e-01
4646  ,98.9603  ,47.8153  ,-97.7687  ,3.89969e-01
46158  ,101.328  ,41.7457  ,-97.9759  ,3.89959e-01
57767  ,100.896  ,42.6793  ,-98.9473  ,3.89944e-01
27602  ,102.063  ,39.1986  ,-99.5366  ,3.89901e-01
26998  ,98.6369  ,48.2171  ,-99.2272  ,3.89882e-01
57772  ,101.041  ,42.2451  ,-98.8844  ,3.89866e-01
15379  ,101.274  ,41.6003  ,-98.89  ,3.89863e-01
57359  ,100.357  ,44.0401  ,-98.9368  ,3.89848e-01
52548  ,101.534  ,40.6613  ,-99.6066  ,3.89823e-01
57773  ,101.038  ,42.2673  ,-98.4587  ,3.89746e-01
45997  ,101.271  ,41.6224  ,-98.4643  ,3.89744e-01
33764  ,102.404  ,38.2862  ,-98.5558  ,3.89732e-01
55152  ,99.4733  ,46.4308  ,-97.8136  ,3.89732e-01
49717  ,100.229  ,44.3881  ,-98.4844  ,3.89725e-01
43961  ,101.375  ,41.3664  ,-98.25  ,3.89720e-01
57066  ,101.565  ,40.3902  ,-100.004  ,3.89718e-01
2509  ,98.6741  ,47.916  ,-99.7513  ,3.89703e-01
60312  ,101.529  ,40.98  ,-97.9934  ,3.89697e-01
50285  ,99.7534  ,45.3761  ,-99.3167  ,3.89675e-01
46191  ,100.084  ,44.4913  ,-99.4756  ,3.89659e-01
