18:18, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
30165  ,105.841  ,42.2872  ,-69.5322  ,2.46421e+00
91279  ,106.07  ,42.2872  ,-66.9302  ,2.46410e+00
30167  ,105.953  ,41.9966  ,-69.4119  ,2.46387e+00
5710  ,106.712  ,40.2872  ,-68.7065  ,2.46378e+00
25108  ,106.22  ,41.2528  ,-69.8563  ,2.46373e+00
72921  ,105.976  ,42.0821  ,-68.6075  ,2.46370e+00
55467  ,106.616  ,41.8746  ,-63.3132  ,2.46366e+00
62566  ,106.032  ,41.7915  ,-69.11  ,2.46330e+00
25500  ,106.426  ,42.2872  ,-63.2204  ,2.46315e+00
37277  ,105.48  ,42.2872  ,-74.011  ,2.46309e+00
54654  ,106.025  ,41.3569  ,-71.2971  ,2.46292e+00
87251  ,106.568  ,42.2872  ,-61.8393  ,2.46277e+00
33641  ,105.383  ,42.2872  ,-75.3913  ,2.46275e+00
46001  ,106.151  ,41.4741  ,-68.6158  ,2.46234e+00
25534  ,106.114  ,41.858  ,-67.1684  ,2.46212e+00
40548  ,106.38  ,41.459  ,-66.1642  ,2.46208e+00
81555  ,105.784  ,41.836  ,-71.2118  ,2.46206e+00
73675  ,105.983  ,41.9786  ,-67.9713  ,2.46206e+00
86484  ,105.842  ,42.2872  ,-68.0514  ,2.46199e+00
88833  ,106.557  ,40.2872  ,-69.3094  ,2.46196e+00
54653  ,106.172  ,40.808  ,-71.6327  ,2.46196e+00
82462  ,106.33  ,40.2872  ,-72.4164  ,2.46193e+00
88130  ,106.984  ,40.2872  ,-64.9356  ,2.46193e+00
46016  ,106.006  ,41.9786  ,-67.6318  ,2.46190e+00
80429  ,106.659  ,40.2872  ,-68.0915  ,2.46189e+00
37276  ,105.69  ,41.808  ,-72.6755  ,2.46189e+00
1093  ,105.787  ,42.2872  ,-68.599  ,2.46189e+00
61627  ,105.988  ,42.2872  ,-66.4951  ,2.46189e+00
30166  ,105.734  ,42.2872  ,-69.196  ,2.46186e+00
46012  ,105.865  ,42.2872  ,-67.712  ,2.46184e+00
61629  ,106.191  ,41.858  ,-66.1816  ,2.46171e+00
8042  ,105.674  ,42.2872  ,-69.8444  ,2.46170e+00
25508  ,106.499  ,41.4756  ,-64.7378  ,2.46156e+00
81541  ,106.425  ,40.6792  ,-68.661  ,2.46147e+00
27531  ,105.786  ,41.9966  ,-69.7242  ,2.46137e+00
46000  ,106.006  ,41.7735  ,-68.2189  ,2.46135e+00
72920  ,105.813  ,42.0821  ,-68.894  ,2.46127e+00
55474  ,106.832  ,41.2872  ,-62.3655  ,2.46123e+00
33660  ,105.734  ,41.2872  ,-74.9191  ,2.46121e+00
25506  ,106.31  ,41.8746  ,-64.7552  ,2.46118e+00
55469  ,106.822  ,40.8746  ,-63.8323  ,2.46108e+00
85788  ,105.449  ,42.2872  ,-72.5903  ,2.46107e+00
11173  ,105.898  ,41.706  ,-69.6039  ,2.46104e+00
40551  ,106.596  ,40.8882  ,-65.7601  ,2.46099e+00
49039  ,106.119  ,42.2872  ,-64.6624  ,2.46069e+00
62565  ,106.018  ,41.3886  ,-69.1097  ,2.46012e+00
5711  ,106.402  ,40.2872  ,-69.9123  ,2.46009e+00
5709  ,106.606  ,40.2872  ,-67.4765  ,2.45995e+00
33642  ,105.486  ,41.7618  ,-74.4379  ,2.45978e+00
