16:24, Wednesday, February 18, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
31151  ,100.281  ,48.0054  ,-98.3652  ,1.30072e-01
65101  ,100.369  ,44.3372  ,-98.3685  ,1.30067e-01
22596  ,100.233  ,46.6067  ,-98.3693  ,1.30066e-01
57415  ,100.719  ,42.0703  ,-98.4305  ,1.30065e-01
47772  ,100.361  ,43.6129  ,-99.3289  ,1.30064e-01
45874  ,100.069  ,47.2409  ,-99.8734  ,1.30061e-01
62052  ,100.337  ,45.0239  ,-97.8892  ,1.30052e-01
30948  ,101.931  ,38.11  ,-98.4879  ,1.30050e-01
22400  ,100.132  ,48.0729  ,-99.356  ,1.30048e-01
48617  ,100.702  ,42.2216  ,-97.9211  ,1.30047e-01
19085  ,101.025  ,40.8765  ,-98.4909  ,1.30042e-01
47931  ,100.446  ,43.6728  ,-97.8987  ,1.30039e-01
30219  ,100.824  ,41.2444  ,-99.4772  ,1.30039e-01
62051  ,100.217  ,45.8284  ,-98.4372  ,1.30038e-01
22598  ,100.079  ,46.6813  ,-99.3993  ,1.30033e-01
48504  ,100.223  ,44.4382  ,-99.3595  ,1.30025e-01
4535  ,100.164  ,48.1772  ,-97.874  ,1.30022e-01
56522  ,102.147  ,37.4584  ,-98.0474  ,1.30020e-01
30615  ,101.536  ,38.9964  ,-99.5435  ,1.30018e-01
39488  ,100.854  ,41.4633  ,-98.16  ,1.30017e-01
47935  ,100.348  ,43.9742  ,-98.324  ,1.30015e-01
45897  ,100.075  ,45.911  ,-99.4286  ,1.30005e-01
30611  ,101.384  ,39.2906  ,-99.9884  ,1.30003e-01
62055  ,100.082  ,45.237  ,-99.8744  ,1.30002e-01
27582  ,100.069  ,47.4094  ,-98.3466  ,1.29999e-01
63147  ,100.471  ,42.759  ,-98.8468  ,1.29997e-01
8676  ,100.026  ,47.1284  ,-98.9198  ,1.29995e-01
56082  ,100.566  ,42.0463  ,-99.4674  ,1.29991e-01
